"Titre","Latitude","Longitude"
"HÃŽtel_Deurbroucq","47.211251","-1.5570087999999487"
"Chantiers_Dubigeon","47.19794160000001","-1.5871011000000408"
"Eglise_Sainte_Anne","47.2031074","-1.5796371999999792"
"Cornilleau_ThÃ©ophile_usine_d_engrais","47.2058652","-1.5609967000000324"
"avenue_de_luzancay","47.2012683","-1.5823116999999911"
"Worms_et_Compagnie_transit_et_consignations","47.2094748","-1.5683306999999331"
"Rue_Jules_Verne","47.19809110000001","-1.5931355999999823"
"_quai_ile_gloriette","47.2112504","-1.5570121000000654"
"Rue_des_Usines","47.1952206","-1.6032391999999618"
"Union_Belliloise_armateur_et_transport_Copie_de_CÃ©line_BrulÃ©_en_conflit","47.210694","-1.5621364999999514"
"Babin_Chevaye_L_usine_d_engrais","47.20706149999999","-1.5604564999999866"
"Grands_moulins_de_Nantes_Anna_Polyakova_s_conflicted_copy","47.19988679999999","-1.5795742999999902"
"_rue_du_SÃ©nÃ©gal","47.2006975","-1.5650471000000152"
"Henry_Edmont_usine_d_engrais","47.2051145","-1.5564363999999387"
"Chargeurs_de_l_Ouest_armateur_et_transport","47.2117066","-1.5648568999999952"
"EntrepÃŽts_de_la_Chambre_de_Commerce_quai_Saint_Louis","47,1993305556","-1,5798944444"
"L_Terret_et_E_de_Closmadeuc_charbon","47.21241060000001","-1.560086100000035"
"blasse_alfred","47.197698","-1.5855619999999817"
"Cahen_D_usine_d_engrais","47.2104832","-1.5629496000000245"
"_boulevard_du_MarÃ©chal_Juin","47.19712837977951","-1.5941762924194336"
"Gare_de_l_Etat","47.2047282","-1.559888600000022"
"Rue_Mazagran","47.209202","-1.5681809000000158"
"Place_FranÃ§ois_II","47.2064118","-1.5565782999999556"
"Etablissements_Georget","47.197896740887224","-1.605226993560791"
"SociÃ©tÃ©_anonyme_des_savonneries_Serpette","47.2117394","-1.5713752999999997"
"Caillard_F_usine_d_engrais","47.20947349999999","-1.57114839999997"
"Raffinerie_de_Chantenay","47.19706860158388","-1.5929210186004639"
"Rouche_R_L_G_et_Compagnie_usine_d_engrais","47.2067901","-1.5634880000000067"
"SociÃ©tÃ©_anonyme_d_exploitation_des_anciennes_fonderies_Voruz_fonderie","47.2067901","-1.5634880000000067"
"Rue_des_Garennes","47.2016374","-1.5805249000000003"
"rene_delafoy_et_cie_engrais_chimiques","47.2006975","-1.5650471000000152"
"Rue_des_Salorges","47.205129","-1.5762580000000526"
"Compagnie_des_Charbons_et_Briquettes_de_Blanzy_et_de_l_Ouest","47.19432238098733","-1.599808931350708"
"Chancerelle_Alfred_conserverie","47.2101763","-1.5719751999999971"
"Cales_Dubigeon","47.19748389999999","-1.588585700000067"
"compagnie_des_messageries_maritimes_quai_la_fosse","47.2086709","-1.5685416000000032"
"Gare_de_Chantenay","47.19712837977951","-1.5941762924194336"
"Chargeurs_rÃ©unis_armateur","47.2105492","-1.5628004000000146"
"EntrepÃŽt_Saint_Louis","47,1984444444","-1,5825083333"
"4 rue Alain Barbe-Torte","47.2051145","-1.5564363999999387"
"ateliers_et_chantiers_de_la_loire_A_C_L","47.206347981849774","-1.5684270858764648"
"SociÃ©tÃ©_des_Houilles_et_AgglomÃ©rÃ©s_Anna_Polyakova_s_conflicted_copy","47.2115753","-1.5599776000000247"
"Rue_Jean_Simon_Voruz","47.20495649999999","-1.5578457999999955"
"Paris_Joseph_fils_chaudronnerie","47.1945179","-1.6164570999999341"
"compagnie_generale_transatlantique","47.2115753","-1.5599776000000247"
"Gare_de_la_Bourse","47.21115323190159","-1.5609705448150635"
"EntrepÃŽts_de_la_Chambre_de_Commerce_rue_des_Salorges","47.204779461943716","-1.5752774477005005"
"SociÃ©tÃ©_anonyme_des_voiliers_nantais_armateur_et_transport","47.2117066","-1.5648568999999952"
"compagnie_des_messageries_maritimes","47.2105492","-1.5628004000000146"
"_rue_Alain_Barbe_Torte","47.2057519","-1.5565126999999848"
"Forges_et_aciÃ©ries_de_Basse_Indre_siÃšge_social","47.2086709","-1.5685416000000032"
"Huilerie_et_savonnerie_Talvande_frÃšres_et_Douault","47.1943005102446","-1.594165563583374"
"Boquien_Bardon_conserverie","47.2099462","-1.5668373999999403"
"Ridel_J_et_Lanfrancki_I_usine_d_engrais","47.2051744813834","-1.5565073490142822"
"Canal_Jollet","47.2068567","-1.5645703999999796"
"Dubigeon_salle_Ã _tracer","47.19794160000001","-1.5871011000000408"
"Rue_La_Tour_d_Auvergne","47.2062915","-1.5570384000000104"
"_chemin_de_la_Saulzay","47.1979023","-1.5925515999999789"
"Capitainerie_du_port","47.20962781441254","-1.5638136863708496"
"Quartier_de_l_Hermitage","47.2024328","-1.5765304000000242"
"Douanes_de_Chantenay","47.19909550510913","-1.587623655796051"
"Place_du_Sanitat","47.2099283","-1.5684784999999692"
"Rue_Meuris","47.2078377","-1.573011500000007"
"Chemin_du_Buzard","47.1963027","-1.593361200000004"
"_rue_de_luzancay","47.19988679999999","-1.5795742999999902"
"Rue_Montaudouine","47.2101257","-1.5649465999999848"
"Rue_de_la_Fosse","47.2135933","-1.5589052000000265"
"Quartier_de_la_GrenouillÃšre","47.198577","-1.584389099999953"
"Rue_Dubreil","47.20851140000001","-1.5713822000000164"
"Cale_aux_moules","47.2120189","-1.5571581000000378"
"Rue_de_la_Cale_Crucy","47.197698","-1.5855619999999817"
"Rue_Bacqua","47.2101246","-1.5563422000000173"
"etablissements_Kuhlmann","47.19510244745444","-1.594991683959961"
"Centrale_de_Chantenay","47.1951898","-1.603721500000006"
"Boulevard_LÃ©on_Bureau","47.2068567","-1.5645703999999796"
"Port_du_Cordon_Bleu","47.19498361572852","-1.592470407485962"
"ateliers_et_chantiers_de_bretagne_a_c_b","47.20739755033545","-1.5655732154846191"
"Grands_moulins_de_Nantes","47.19988679999999","-1.5795742999999902"
